system,asset,period,scenario,mean_return,mdd,sharpe,sortino
SVM,AAPL,2008-2009,S0,0.0,0.0,0.0,0.0
SVM,AAPL,2008-2009,S1,0.0,0.0,0.0,0.0
SVM,AAPL,2008-2009,S2,0.0,0.0,0.0,0.0
SVM,AAPL,2020-2021,S0,0.0,0.0,0.0,0.0
SVM,AAPL,2020-2021,S1,0.0,0.0,0.0,0.0
SVM,AAPL,2020-2021,S2,0.0,0.0,0.0,0.0
SVM,AAPL,2022-2023,S0,-0.0382,17.133,-2.3349,-2.8963
SVM,AAPL,2022-2023,S1,-0.0263,12.5668,-1.6529,-2.0063
SVM,AAPL,2022-2023,S2,-0.0292,13.699,-1.8278,-2.2331
SVM,AAPL,2024-2025,S0,0.0,0.0,0.0,0.0
SVM,AAPL,2024-2025,S1,0.0,0.0,0.0,0.0
SVM,AAPL,2024-2025,S2,0.0,0.0,0.0,0.0
SVM,Gold,2008-2009,S0,-0.0003,0.2251,-0.6179,-0.1845
SVM,Gold,2008-2009,S1,0.0,0.1063,0.1065,0.0274
SVM,Gold,2008-2009,S2,-0.0,0.1368,-0.0758,-0.0187
SVM,Gold,2020-2021,S0,-0.0012,1.0819,-0.3457,-0.0589
SVM,Gold,2020-2021,S1,-0.001,1.0369,-0.2879,-0.0486
SVM,Gold,2020-2021,S2,-0.0011,1.0487,-0.3175,-0.0538
SVM,Gold,2022-2023,S0,-0.0153,10.5745,-1.1183,-1.2066
SVM,Gold,2022-2023,S1,-0.0075,8.3432,-0.5584,-0.6056
SVM,Gold,2022-2023,S2,-0.012,9.5875,-0.8775,-0.942
SVM,Gold,2024-2025,S0,0.0,0.0,0.0,0.0
SVM,Gold,2024-2025,S1,0.0,0.0,0.0,0.0
SVM,Gold,2024-2025,S2,0.0,0.0,0.0,0.0
